World,Level,Meta,Puzzle No.,Puzzle,No. Possible,No. Required,ScrambleYN,Letter,Piece 1,Piece 2,Piece 3,Piece 4,Piece 5,Piece 6,Notes,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,No. Letters,No. Blanks,No. Repeat Ltr. Cubes,Full-length Freq.,Min. Freq.,Max. Freq.,No. Freq. 1,No. Freq. 2,No. Freq. 3,No. Freq. 4,No. Freq. 5,No. Freq. 6,No. Freq. 7,No. Freq. 8,No. Freq. 9,No. Freq. 10
,,,,LASTLY,5,,,,LA,ST,LY,,,,,ALTS,LASTLY,LAST,LATS,ALLY,,,,,,,,,,,,6,0,0,3,0,5,1,0,1,1,0,2,0,0,0,0
,,,,REVELING,2,,,, RE,VEL,ING,,,,,REVEL,REVELING,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,EDITED,5,,,,ED,IT,ED,,,,,EDIT,TIDE,DEED,TIED,EDITED,,,,,,,,,,,,6,0,0,1,0,3,1,2,1,1,0,0,0,0,0,0
,,,,TRUED,5,,,, T,RU,ED,,,,,RUED,TED,RUDE,RUT,TRUED,,,,,,,,,,,,5,1,0,3,2,6,0,0,1,3,0,0,1,0,0,0
,,,,PONGS,4,,,,PO,NG,S ,,,,,SOP,PONG,PONGS,OPS,,,,,,,,,,,,,5,1,0,6,3,6,0,0,0,1,0,1,2,0,0,0
,,,,ABASHING,3,,,, AB,ASH,ING,,,,,ABASHING,ABASH,ASHING,,,,,,,,,,,,,,8,1,0,4,3,4,0,0,0,1,2,0,0,0,0,0
,,,,TRUES,5,,,, T,RU,ES,,,,,SET,RUES,TRUES,RUT,RUSE,,,,,,,,,,,,5,1,0,3,0,3,1,0,0,4,0,0,0,0,0,0
,,,,IRRITATE,2,,,, IR,RIT,ATE,,,,,IRRITATE,IRATE,,,,,,,,,,,,,,,8,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0
,,,,GAUCHELY,2,,,,GAU,CHE,LY ,,,,,GAUCHELY,GAUCHE,,,,,,,,,,,,,,,8,1,0,6,4,6,0,0,0,0,1,0,1,0,0,0
,,,,DEBUGGED,3,,,, DE,BUG,GED,,,,,DEBUG,DEBUGGED,BUGGED,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,2,1,0,0,0,0,0,0
,,,,ADJOINED,3,,,,ADJ,OIN,ED ,,,,,ADJOINED,JADED,ADJOIN,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,JOCKEY,3,,,,JO,CK,EY,,,,,JOEY,JOCKEY,JOCK,,,,,,,,,,,,,,6,0,0,3,3,6,0,0,0,1,1,0,1,0,0,0
,,,,TARTLY,2,,,,TA,RT,LY,,,,,TARTLY,TART,,,,,,,,,,,,,,,6,0,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,LOLLOP,6,,,,LO,LL,OP,,,,,LOLL,LOOP,POLO,POLL,LOLLOP,POOL,,,,,,,,,,,6,0,1,6,1,6,0,3,0,2,0,0,1,0,0,0
,,,,WHACKERS,2,,,, WH,ACK,ERS,,,,,WHACKERS,WHACK,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,REISSUES,2,,,, RE,ISS,UES,,,,,ISSUES,REISSUES,,,,,,,,,,,,,,,8,1,0,4,1,4,0,1,0,0,1,0,0,0,0,0
,,,,TWILIT,2,,,,TW,IL,IT,,,,,TWIT,TWILIT,,,,,,,,,,,,,,,6,0,0,6,4,6,0,0,0,0,1,0,1,0,0,0
,,,,VALIDITY,2,,,, VA,LID,ITY,,,,,VALID,VALIDITY,,,,,,,,,,,,,,,8,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0
,,,,REISSUED,2,,,, RE,ISS,UED,,,,,REISSUED,ISSUED,,,,,,,,,,,,,,,8,1,0,4,1,4,0,1,0,0,1,0,0,0,0,0
,,,,AFTERS,2,,,,AF,TE,RS,,,,,FATE,AFTERS,,,,,,,,,,,,,,,6,0,0,6,1,6,0,1,0,0,0,0,1,0,0,0
,,,,WHEEZY,2,,,,WH,EE,ZY,,,,,WHEEZY,WHEE,,,,,,,,,,,,,,,6,0,1,5,5,6,0,0,0,0,0,1,1,0,0,0
,,,,OPAQUING,2,,,, OP,AQU,ING,,,,,OPAQUING,OPING,,,,,,,,,,,,,,,8,1,0,3,3,6,0,0,0,1,0,0,1,0,0,0
,,,,WHEEZE,2,,,,WH,EE,ZE,,,,,WHEEZE,WHEE,,,,,,,,,,,,,,,6,0,1,3,3,6,0,0,0,1,0,0,1,0,0,0
,,,,COLOUR,4,,,,CO,LO,UR,,,,,LOUR,COLOUR,LOCO,COOL,,,,,,,,,,,,,6,0,0,1,0,6,1,1,0,0,0,1,1,0,0,0
,,,,SOUGH,3,,,,SO,UG,H ,,,,,SOUGH,UGH,HUG,,,,,,,,,,,,,,5,1,0,5,2,5,0,0,1,1,0,1,0,0,0,0
,,,,DITCHING,2,,,, DI,TCH,ING,,,,,DITCHING,DITCH,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,BOGUS,5,,,, B,OG,US,,,,,BUS,GOB,BOGUS,SUB,BOG,,,,,,,,,,,,5,1,0,2,1,3,0,1,2,2,0,0,0,0,0,0
,,,,LOYALISM,2,,,, LO,YAL,ISM,,,,,LOYALISM,LOYAL,,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,0,0,0,1,0,0,0
,,,,ENTERS,2,,,,EN,TE,RS,,,,,TEEN,ENTERS,,,,,,,,,,,,,,,6,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0
,,,,TYKES,3,,,,TY,KE,S ,,,,,TYKES,TYKE,STY,,,,,,,,,,,,,,5,1,0,4,4,5,0,0,0,0,2,1,0,0,0,0
,,,,STUNTMAN,2,,,, ST,UNT,MAN,,,,,STUNTMAN,STUNT,,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,0,0,0,1,0,0,0
,,,,LOYALIST,2,,,, LO,YAL,IST,,,,,LOYALIST,LOYAL,,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,0,0,1,0,0,0,0
,,,,AMAZED,2,,,,AM,AZ,ED,,,,,MADE,AMAZED,,,,,,,,,,,,,,,6,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0
,,,,CASING,3,,,,CA,SI,NG,,,,,SING,CASING,SIGN,,,,,,,,,,,,,,6,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0
,,,,FOREARMS,3,,,,FOR,EAR,MS ,,,,,FORMS,REAMS,FOREARMS,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,2,0,0,0,0,0,0
,,,,WEAVE,4,,,,WE,AV,E ,,,,,AVE,EWE,WEE,WEAVE,,,,,,,,,,,,,5,1,0,3,2,4,0,0,1,2,1,0,0,0,0,0
,,,,CACHE,2,,,, C,AC,HE,,,,,ACHE,CACHE,,,,,,,,,,,,,,,5,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,UPDATING,2,,,, UP,DAT,ING,,,,,DATING,UPDATING,,,,,,,,,,,,,,,8,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0
,,,,BENEFITS,2,,,,BEN,EFI,TS ,,,,,BENEFITS,BENTS,,,,,,,,,,,,,,,8,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0
,,,,OFFENDED,4,,,,OFF,END,ED ,,,,,OFFEND,OFFED,OFFENDED,ENDED,,,,,,,,,,,,,8,1,0,2,1,3,0,1,2,1,0,0,0,0,0,0
,,,,CUSP,2,,,,CU,SP,,,,,,CUSP,CUPS,,,,,,,,,,,,,,,4,2,0,2,2,5,0,0,1,0,0,1,0,0,0,0
,,,,COLOSSAL,2,,,, CO,LOS,SAL,,,,,COLOSSAL,COALS,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,RESOUNDS,3,,,, RE,SOU,NDS,,,,,SOUNDS,RESOUNDS,RENDS,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,1,1,0,0,0,0,0,0
,,,,MITERING,2,,,, MI,TER,ING,,,,,MITERING,MITER,,,,,,,,,,,,,,,8,1,0,5,5,5,0,0,0,0,0,2,0,0,0,0
,,,,LOTS,2,,,,LO,TS,,,,,,LOTS,LOST,,,,,,,,,,,,,,,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
,,,,COMMUTER,3,,,,COM,MUT,ER ,,,,,COMMUTER,MUTER,COMER,,,,,,,,,,,,,,8,1,0,3,3,5,0,0,0,2,0,1,0,0,0,0
,,,,COMMUTES,3,,,,COM,MUT,ES ,,,,,COMMUTES,COMES,MUTES,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,2,0,0,0,0,0,0
,,,,TOOL,2,,,,TO,OL,,,,,,TOOL,LOOT,,,,,,,,,,,,,,,4,2,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,TIP,2,,,,TI,P ,,,,,,PIT,TIP,,,,,,,,,,,,,,,3,3,0,2,2,2,0,0,2,0,0,0,0,0,0,0
,,,,SHILL,4,,,, S,HI,LL,,,,,HIS,HILLS,HILL,SHILL,,,,,,,,,,,,,5,1,1,2,0,5,2,0,1,0,0,1,0,0,0,0
,,,,COMMUTED,2,,,,COM,MUT,ED ,,,,,MUTED,COMMUTED,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,TIN,2,,,, T,IN,,,,,,TIN,NIT,,,,,,,,,,,,,,,3,3,0,1,1,3,0,1,0,1,0,0,0,0,0,0
,,,,MOUNDING,2,,,, MO,UND,ING,,,,,MOUNDING,MOUND,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,WHACKS,2,,,,WH,AC,KS,,,,,WHACKS,CASK,,,,,,,,,,,,,,,6,0,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,JACKED,4,,,,JA,CK,ED,,,,,JACKED,JADE,JACK,DECK,,,,,,,,,,,,,6,0,0,3,2,3,0,0,2,2,0,0,0,0,0,0
,,,,AVID,2,,,,AV,ID,,,,,,AVID,DIVA,,,,,,,,,,,,,,,4,2,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,WOOED,4,,,, W,OO,ED,,,,,WOOED,WOO,DEW,WED,,,,,,,,,,,,,5,1,1,3,2,3,0,0,1,3,0,0,0,0,0,0
,,,,QUAKY,3,,,,QU,AK,Y ,,,,,KAY,QUAKY,YAK,,,,,,,,,,,,,,5,1,0,6,3,6,0,0,0,1,0,1,1,0,0,0
,,,,FACING,2,,,,FA,CI,NG,,,,,FACING,FANG,,,,,,,,,,,,,,,6,0,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,WOOER,3,,,,WO,OE,R ,,,,,WOOER,ROE,ROW,,,,,,,,,,,,,,5,1,0,5,0,5,1,0,0,1,0,1,0,0,0,0
,,,,QUAKE,2,,,, Q,UA,KE,,,,,QUA,QUAKE,,,,,,,,,,,,,,,5,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,BEVELLED,2,,,, BE,VEL,LED,,,,,BEVEL,BEVELLED,,,,,,,,,,,,,,,8,1,0,4,4,4,0,0,0,0,2,0,0,0,0,0
,,,,SWOOSHED,4,,,,SWO,OSH,ED ,,,,,SHOED,HOSED,SWOOSHED,SWOOSH,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,2,0,0,2,0,0,0
,,,,SWOOSHES,4,,,,SWO,OSH,ES ,,,,,SWOOSHES,HOSES,SHOES,SWOOSH,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,1,0,0,2,0,0,0
,,,,SUPINELY,2,,,,SUP,INE,LY ,,,,,SUPINE,SUPINELY,,,,,,,,,,,,,,,8,1,0,6,5,6,0,0,0,0,0,1,1,0,0,0
,,,,SNOTS,4,,,,SN,OT,S ,,,,,SNOTS,TONS,SOT,SNOT,,,,,,,,,,,,,5,1,0,3,2,5,0,0,1,2,0,1,0,0,0,0
,,,,REAM,2,,,,RE,AM,,,,,,REAM,MARE,,,,,,,,,,,,,,,4,2,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,BUNCHING,2,,,, BU,NCH,ING,,,,,BUNCHING,BUNCH,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,UNCORKED,2,,,, UN,COR,KED,,,,,UNCORKED,CORKED,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,SURGE,4,,,,SU,RG,E ,,,,,SUE,ERG,USE,SURGE,,,,,,,,,,,,,5,1,0,3,0,5,2,0,0,1,0,1,0,0,0,0
,,,,EEL,2,,,,EE,L ,,,,,,EEL,LEE,,,,,,,,,,,,,,,3,3,1,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,PELLET,2,,,,PE,LL,ET,,,,,PELLET,TELL,,,,,,,,,,,,,,,6,0,1,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,CLADDING,3,,,, CL,ADD,ING,,,,,ADDING,CLADDING,CLING,,,,,,,,,,,,,,8,1,0,6,1,6,0,1,0,1,0,0,1,0,0,0
,,,,UNSOUGHT,2,,,,UNS,OUG,HT ,,,,,UNSOUGHT,OUGHT,,,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,0,0,0,1,0,0,0
,,,,PITFALLS,2,,,,PIT,FAL,LS ,,,,,PITFALLS,FALLS,,,,,,,,,,,,,,,8,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0
,,,,DIMER,6,,,, D,IM,ER,,,,,DIM,MIRED,MIRE,MID,RED,DIMER,,,,,,,,,,,5,1,0,3,0,5,1,0,1,3,0,1,0,0,0,0
,,,,DIMES,6,,,,DI,ME,S ,,,,,IDEM,DIME,IDS,EMS,DIS,DIMES,,,,,,,,,,,5,1,0,3,3,6,0,0,0,3,1,1,1,0,0,0
,,,,DARKEN,2,,,,DA,RK,EN,,,,,DARK,DARKEN,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,CLAIMING,4,,,, CL,AIM,ING,,,,,CLAIM,AIMING,CLAIMING,CLING,,,,,,,,,,,,,8,1,0,1,0,3,1,2,0,1,0,0,0,0,0,0
,,,,DARKER,4,,,,DA,RK,ER,,,,,DARK,READ,DARE,DARKER,,,,,,,,,,,,,6,0,0,3,0,3,2,1,0,1,0,0,0,0,0,0
,,,,DEMURRAL,2,,,,DEM,URR,AL ,,,,,DEMURRAL,RURAL,,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,0,0,0,1,0,0,0
,,,,SKIMPIER,3,,,, SK,IMP,IER,,,,,SKIMPIER,SKIMP,SKIER,,,,,,,,,,,,,,8,1,0,3,3,4,0,0,0,2,1,0,0,0,0,0
,,,,RUGGED,3,,,,RU,GG,ED,,,,,RUGGED,RUED,RUDE,,,,,,,,,,,,,,6,0,1,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,TOWNSMEN,2,,,, TO,WNS,MEN,,,,,TOWNSMEN,TOWNS,,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,0,0,1,0,0,0,0
,,,,HONOREES,2,,,, HO,NOR,EES,,,,,HONOR,HONOREES,,,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,0,0,0,1,0,0,0
,,,,MINSTERS,2,,,, MI,NST,ERS,,,,,MINSTERS,MISER,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
,,,,FAUNAS,2,,,,FA,UN,AS,,,,,FAUNAS,FAUN,,,,,,,,,,,,,,,6,0,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,FAUNAE,2,,,,FA,UN,AE,,,,,FAUNAE,FAUN,,,,,,,,,,,,,,,6,0,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,TONICS,4,,,,TO,NI,CS,,,,,TONICS,INTO,SCOT,TOCSIN,,,,,,,,,,,,,6,0,0,3,0,5,1,0,0,1,0,2,0,0,0,0
,,,,GENDARME,2,,,, GE,NDA,RME,,,,,MERGE,GENDARME,,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,0,0,1,0,0,0,0
,,,,FIREBOMB,2,,,, FI,REB,OMB,,,,,FIBRE,FIREBOMB,,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,0,0,1,0,0,0,0
,,,,CATBOATS,2,,,,CAT,BOA,TS ,,,,,BOATS,CATBOATS,,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,0,0,1,0,0,0,0
,,,,DAGGER,3,,,,DA,GG,ER,,,,,READ,DAGGER,DARE,,,,,,,,,,,,,,6,0,1,3,0,3,1,1,0,1,0,0,0,0,0,0
,,,,ROUNDELS,2,,,, RO,UND,ELS,,,,,ROUNDELS,ROUND,,,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,0,0,0,1,0,0,0
,,,,VIADUCTS,2,,,,VIA,DUC,TS ,,,,,DUCTS,VIADUCTS,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,PUTRID,2,,,,PU,TR,ID,,,,,PUTRID,DIRT,,,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,DEAFENED,2,,,,DEA,FEN,ED ,,,,,DEAFENED,DEAFEN,,,,,,,,,,,,,,,8,1,0,4,4,4,0,0,0,0,2,0,0,0,0,0
,,,,IDOLATER,2,,,,IDO,LAT,ER ,,,,,IDOLATER,LATER,,,,,,,,,,,,,,,8,1,0,5,0,5,1,0,0,0,0,1,0,0,0,0
,,,,DEWAR,7,,,,DE,WA,R ,,,,,WADER,AWED,RAW,DEWAR,WADE,WAR,RED,,,,,,,,,,5,1,0,5,0,5,2,1,1,1,0,2,0,0,0,0
,,,,MAESTROS,2,,,, MA,EST,ROS,,,,,MATES,MAESTROS,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,EXTORTED,2,,,,EXT,ORT,ED ,,,,,EXTORT,EXTORTED,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,BRAWLERS,2,,,, BR,AWL,ERS,,,,,BRAWLERS,BRAWL,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,REBURY,2,,,,RE,BU,RY,,,,,BURY,REBURY,,,,,,,,,,,,,,,6,0,0,6,1,6,0,1,0,0,0,0,1,0,0,0
,,,,LAZINESS,2,,,, LA,ZIN,ESS,,,,,LAZINESS,LASES,,,,,,,,,,,,,,,8,1,0,2,2,5,0,0,1,0,0,1,0,0,0,0
,,,,LEMMA,3,,,,LE,MM,A ,,,,,LEA,ALE,LEMMA,,,,,,,,,,,,,,5,1,1,5,3,5,0,0,0,1,0,2,0,0,0,0
,,,,UNDERLIP,2,,,, UN,DER,LIP,,,,,UNDERLIP,UNDER,,,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,0,0,0,1,0,0,0
,,,,UNDERLIE,3,,,, UN,DER,LIE,,,,,UNDERLIE,LIEDER,UNDER,,,,,,,,,,,,,,8,1,0,2,0,6,1,0,1,0,0,0,1,0,0,0
,,,,LEEWARDS,2,,,,LEE,WAR,DS ,,,,,WARDS,LEEWARDS,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,FOLLOWUP,2,,,,FOL,LOW,UP ,,,,,FOLLOWUP,FOLLOW,,,,,,,,,,,,,,,8,1,0,5,0,5,1,0,0,0,0,1,0,0,0,0
,,,,REMITTED,3,,,, RE,MIT,TED,,,,,MITRE,REMITTED,REMIT,,,,,,,,,,,,,,8,1,0,3,3,5,0,0,0,2,0,1,0,0,0,0
,,,,MAPMAKER,2,,,,MAP,MAK,ER ,,,,,MAKER,MAPMAKER,,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,0,0,0,1,0,0,0
,,,,RECYCLES,2,,,, RE,CYC,LES,,,,,CYCLES,RECYCLES,,,,,,,,,,,,,,,8,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0
,,,,ENSNARED,2,,,, EN,SNA,RED,,,,,ENSNARED,SNARED,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,RECYCLED,2,,,, RE,CYC,LED,,,,,RECYCLED,CYCLED,,,,,,,,,,,,,,,8,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0
,,,,DISMOUNT,2,,,,DIS,MOU,NT ,,,,,MOUNT,DISMOUNT,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,INCOMING,2,,,, IN,COM,ING,,,,,INCOMING,COMING,,,,,,,,,,,,,,,8,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0
,,,,STICKPIN,2,,,, ST,ICK,PIN,,,,,STICK,STICKPIN,,,,,,,,,,,,,,,8,1,0,5,0,5,1,0,0,0,0,1,0,0,0,0
,,,,GAWKIEST,2,,,, GA,WKI,EST,,,,,GATES,GAWKIEST,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,MAINLAND,2,,,, MA,INL,AND,,,,,INLAND,MAINLAND,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SAUTERNE,3,,,, SA,UTE,RNE,,,,,SAUTE,SANER,SAUTERNE,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,2,0,1,0,0,0,0
,,,,ENTRUSTS,3,,,,ENT,RUS,TS ,,,,,RUSTS,ENTRUSTS,TENTS,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,UNBUTTON,2,,,, UN,BUT,TON,,,,,UNBUTTON,BUTTON,,,,,,,,,,,,,,,8,1,0,4,1,4,0,1,0,0,1,0,0,0,0,0
,,,,SURNAMES,2,,,,SUR,NAM,ES ,,,,,SURNAMES,NAMES,,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,1,0,0,0,0,0,0
,,,,POSTINGS,3,,,, PO,STI,NGS,,,,,STINGS,PONGS,POSTINGS,,,,,,,,,,,,,,8,1,0,5,3,6,0,0,0,1,0,1,1,0,0,0
,,,,RICING,2,,,,RI,CI,NG,,,,,RING,RICING,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,JAWBONES,2,,,,JAW,BON,ES ,,,,,BONES,JAWBONES,,,,,,,,,,,,,,,8,1,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,BASTARDS,2,,,, BA,STA,RDS,,,,,BASTARDS,BARDS,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,KEYWORDS,2,,,,KEY,WOR,DS ,,,,,KEYWORDS,WORDS,,,,,,,,,,,,,,,8,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0
,,,,DUNKS,2,,,, D,UN,KS,,,,,DUNKS,DUN,,,,,,,,,,,,,,,5,1,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,BASTARDY,2,,,,BAS,TAR,DY ,,,,,TARDY,BASTARDY,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
,,,,THANK,3,,,, T,HA,NK,,,,,HANK,HAT,THANK,,,,,,,,,,,,,,5,1,0,0,0,5,2,0,0,0,0,1,0,0,0,0
,,,,WELLY,3,,,,WE,LL,Y ,,,,,WELLY,WELL,YEW,,,,,,,,,,,,,,5,1,1,6,0,6,1,0,0,1,0,0,1,0,0,0
,,,,PANDERED,4,,,, PA,NDE,RED,,,,,PANDERED,PARED,REDDEN,PADRE,,,,,,,,,,,,,8,1,0,3,3,4,0,0,0,3,1,0,0,0,0,0
,,,,COMPARES,3,,,,COM,PAR,ES ,,,,,COMPARES,PARES,COMES,,,,,,,,,,,,,,8,1,0,1,1,3,0,2,0,1,0,0,0,0,0,0
,,,,PANDERER,2,,,,PAN,DER,ER ,,,,,PANDER,PANDERER,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,BLOCKS,2,,,,BL,OC,KS,,,,,BLOCKS,BLOC,,,,,,,,,,,,,,,6,0,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,MATED,6,,,,MA,TE,D ,,,,,MATED,DAM,TED,MATE,MAD,TEAM,,,,,,,,,,,5,1,0,3,0,6,1,1,1,2,0,0,1,0,0,0
,,,,VEXES,3,,,, V,EX,ES,,,,,VEXES,VEX,EXES,,,,,,,,,,,,,,5,1,0,3,3,4,0,0,0,2,1,0,0,0,0,0
,,,,MATES,7,,,,MA,TE,S ,,,,,MAS,SET,MATES,TEAMS,MATE,TEAM,STEAM,,,,,,,,,,5,1,0,2,0,3,2,0,3,2,0,0,0,0,0,0
,,,,MATEY,6,,,,MA,TE,Y ,,,,,MAY,YAM,MATE,TEAM,MATEY,YET,,,,,,,,,,,5,1,0,6,0,6,3,0,1,1,0,0,1,0,0,0
,,,,PILLOW,2,,,,PI,LL,OW,,,,,PILL,PILLOW,,,,,,,,,,,,,,,6,0,1,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,FATIGUES,2,,,,FAT,IGU,ES ,,,,,FATES,FATIGUES,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,PLAIDS,2,,,,PL,AI,DS,,,,,AIDS,PLAIDS,,,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,DRIPPING,2,,,, DR,IPP,ING,,,,,PIPING,DRIPPING,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,PREACHER,2,,,,PRE,ACH,ER ,,,,,PREACHER,PREACH,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,FATIGUED,2,,,,FAT,IGU,ED ,,,,,FATIGUED,FATED,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SCHOLARS,2,,,, SC,HOL,ARS,,,,,SCARS,SCHOLARS,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,CARPUS,2,,,,CA,RP,US,,,,,CARPUS,CARP,,,,,,,,,,,,,,,6,0,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,WHO,2,,,, W,HO,,,,,,HOW,WHO,,,,,,,,,,,,,,,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,,,DRIVELER,5,,,,DRI,VEL,ER ,,,,,DRIVELER,DRIVEL,DRIER,RIDER,ELVER,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,2,0,0,2,0,0,0
,,,,FIANCEES,2,,,,FIA,NCE,ES ,,,,,FIANCE,FIANCEES,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,IMMATURE,2,,,, IM,MAT,URE,,,,,IMMATURE,MATURE,,,,,,,,,,,,,,,8,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0
,,,,LITER,6,,,, L,IT,ER,,,,,TIL,LITER,TIRE,LITRE,LIT,TIER,,,,,,,,,,,5,1,0,2,0,6,1,0,3,1,0,0,1,0,0,0
,,,,POMADE,3,,,,PO,MA,DE,,,,,MADE,POMADE,OPED,,,,,,,,,,,,,,6,0,0,5,0,6,1,0,0,0,0,1,1,0,0,0
